date,state,roc_rolling_mean
2020-04-05,Illinois,0.13976917057902966
2020-04-05,North Dakota,0.15882352941176464
2020-04-05,Washington,0.18275540079175945
2020-04-05,District of Columbia,0.08006858667005365
2020-04-05,Oklahoma,0.13404833297937008
2020-04-05,Oregon,0.1555686993387558
2020-04-05,Delaware,0.2441115150110496
2020-04-05,North Carolina,0.19054092325120348
2020-04-05,Missouri,0.13178838951310856
2020-04-05,Arizona,0.24339250850503713
2020-04-05,New Hampshire,0.10486471522017446
2020-04-05,Vermont,0.046507778881165154
2020-04-05,New Jersey,0.2086368653421633
2020-04-05,New York,0.1562582258489077
2020-04-05,Connecticut,0.2360565282710697
2020-04-05,Wisconsin,0.23870097177744795
2020-04-05,Virginia,0.19511432146513472
2020-04-05,Arkansas,0.2506300055233361
2020-04-05,Virgin Islands,0.20942447977947354
2020-04-05,Wyoming,0.1373910660123761
2020-04-05,California,0.22750225682690134
2020-04-05,Tennessee,0.2581732253544542
2020-04-05,Alaska,0.23892706131078217
2020-04-05,Texas,0.22585534740840763
2020-04-05,Utah,0.12541212851588254
2020-04-05,Mississippi,0.1449847812449174
2020-04-05,West Virginia,0.16345601740401935
2020-04-05,Hawaii,0.15505706414797324
2020-04-05,Massachusetts,0.16361298617807768
2020-04-05,Kansas,0.21750913161305513
2020-04-05,Kentucky,0.1749962516867409
2020-04-05,Idaho,0.2319270179170066
2020-04-05,Louisiana,0.11402393418100215
2020-04-05,Maine,0.156550906046084
2020-04-05,Indiana,0.219692197866801
2020-04-05,Minnesota,0.2053289057558507
2020-04-05,South Carolina,0.2066157526683841
2020-04-05,Florida,0.15436924394945378
2020-04-05,Northern Mariana Islands,0.15018825301204813
2020-04-05,Michigan,0.24605699058862926
2020-04-05,Georgia,0.26791139240506334
2020-04-05,Nevada,0.2037327122451924
2020-04-05,Rhode Island,0.19601157811880685
2020-04-05,Pennsylvania,0.24797160243407695
2020-04-05,Guam,0.1531109715607396
2020-04-05,Ohio,0.17561668553539134
2020-04-05,Puerto Rico,0.22461622807017545
2020-04-05,Maryland,0.1302416031320833
2020-04-05,Iowa,0.1052631578947368
2020-04-05,Montana,0.2122322996231226
2020-04-05,New Mexico,0.13971633234825231
2020-04-05,South Dakota,0.13721423303834795
2020-04-05,Alabama,0.0976430767960704
2020-04-05,Nebraska,0.09197138314785375
2020-04-04,Illinois,0.14687081659973217
2020-04-04,North Dakota,0.08513931888544884
2020-04-04,Washington,0.2300470169288765
2020-04-04,District of Columbia,0.1146013145212671
2020-04-04,Oklahoma,0.1548340425173905
2020-04-04,Oregon,0.1292231643302597
2020-04-04,Delaware,0.2988789174183132
2020-04-04,North Carolina,0.11102159200773434
2020-04-04,Missouri,0.14875730994152045
2020-04-04,Arizona,0.1881275916422953
2020-04-04,New Hampshire,0.11326144833268109
2020-04-04,Vermont,0.02601330913490625
2020-04-04,New Jersey,0.1623273415326395
2020-04-04,New York,0.2609578921447919
2020-04-04,Connecticut,0.19984553500875565
2020-04-04,Wisconsin,0.20454665975167535
2020-04-04,Virginia,0.1947107702141258
2020-04-04,Arkansas,0.17369391450273805
2020-04-04,Virgin Islands,0.10380363770914511
2020-04-04,Wyoming,0.1023080034282932
2020-04-04,California,0.14300432722027606
2020-04-04,Tennessee,0.15221958458763415
2020-04-04,Alaska,0.16240643119529835
2020-04-04,Texas,0.1850754091200247
2020-04-04,Utah,0.1415643180349062
2020-04-04,Mississippi,0.12589435001211163
2020-04-04,West Virginia,0.12031473931552614
2020-04-04,Hawaii,0.09730848861283645
2020-04-04,Massachusetts,0.23586362556426693
2020-04-04,Kansas,0.19069753741015666
2020-04-04,Kentucky,0.2113308701007027
2020-04-04,Idaho,0.22306754823302316
2020-04-04,Louisiana,0.1592224231464737
2020-04-04,Maine,0.1231173591759913
2020-04-04,Indiana,0.15854209460079477
2020-04-04,Minnesota,0.08336104644717875
2020-04-04,Colorado,0.0
2020-04-04,South Carolina,0.17258574363837514
2020-04-04,Florida,0.12957157784743983
2020-04-04,Northern Mariana Islands,0.1246983151183971
2020-04-04,Michigan,0.21508427008341055
2020-04-04,Georgia,0.32003937007874017
2020-04-04,Nevada,0.3089403125266843
2020-04-04,Rhode Island,0.1830071738812161
2020-04-04,Pennsylvania,0.21732026143790845
2020-04-04,Guam,0.1240070945366176
2020-04-04,Ohio,0.13461371110564563
2020-04-04,Puerto Rico,0.15178359014713425
2020-04-04,Maryland,0.10155288897852169
2020-04-04,Iowa,0.25743707093821505
2020-04-04,Montana,0.17516678818395334
2020-04-04,New Mexico,0.09686091120316749
2020-04-04,South Dakota,0.1333499857265201
2020-04-04,Alabama,0.10394588017548675
2020-04-04,Nebraska,0.06310160427807485
2020-04-03,Illinois,0.0979370491469574
2020-04-03,North Dakota,0.0804824561403508
2020-04-03,Washington,0.18366998721451105
2020-04-03,District of Columbia,0.12081966925626506
2020-04-03,Oklahoma,0.16530288420511052
2020-04-03,Oregon,0.13647625998139318
2020-04-03,Delaware,0.2533311358326683
2020-04-03,North Carolina,0.1731321839080459
2020-04-03,Missouri,0.20346429248516135
2020-04-03,Arizona,0.16798990493380472
2020-04-03,New Hampshire,0.24379902975541298
2020-04-03,Vermont,0.6755747126436783
2020-04-03,New Jersey,0.13187675070028015
2020-04-03,New York,0.3030897784687135
2020-04-03,Connecticut,0.14022279634413976
2020-04-03,Wisconsin,0.19607343089701984
2020-04-03,Virginia,0.2182165318957771
2020-04-03,Arkansas,0.14311236370059893
2020-04-03,Virgin Islands,0.1612803720577069
2020-04-03,Wyoming,0.2192428573515111
