,Illinois,North Dakota,Washington,District of Columbia,Oklahoma,Oregon,Delaware,North Carolina,Missouri,Arizona,New Hampshire,Vermont,New Jersey,New York,Connecticut,Wisconsin,Virginia,Arkansas,Virgin Islands,Wyoming,California,Tennessee,Alaska,Texas,Utah,Mississippi,West Virginia,Hawaii,Massachusetts,Kansas,Kentucky,Idaho,Louisiana,Maine,Indiana,Minnesota,Colorado,South Carolina,Florida,Northern Mariana Islands,Michigan,Georgia,Nevada,Rhode Island,Pennsylvania,Guam,Ohio,Puerto Rico,Maryland,Iowa,Montana,New Mexico,South Dakota,Alabama,Nebraska
2020-11-28,0.006769717770724215,0.018060733287487807,0.011645056023063205,0.00700543489491845,0.015925417377343543,0.021485629415542773,0.051946900038435384,0.012669768611670129,0.0068979206987245245,0.006746546803835463,0.004531659252483999,0.007049747273210949,0.005953069009362988,0.018132376135312933,0.012873401662909512,0.01863627059838069,0.014778138937183494,0.05308659928742809,0.015785686816935707,0.004396163348350468,0.017858866685973585,0.009085827643274369,0.008571428571428674,0.03463764281565407,0.02347407415631375,0.004881966755133416,0.01604195153582655,0.013433908045977105,0.020804657157135198,0.014180660576873061,0.025230139788612327,0.011633459922876677,0.02749829051479935,0.009835814612116911,0.007979631019962463,0.009822669179655685,0.0,0.03382002680560814,0.020329260597717003,0.017860978978057496,0.020593521740793097,0.009139798209043537,0.05358221703714516,0.006093216025594428,0.010716485321289326,0.011334329779873142,0.009543436148588658,0.012665372285185272,0.023422430421603746,0.0019946808510638014,0.014885489173354971,0.037627836449503294,0.015712238746973695,0.009183017132772253,0.04480102240051109
2020-11-26,0.011897641831852379,0.020620022753128575,0.015683338390701573,0.014515356727546447,0.014552116339497712,0.02114177366906045,0.005059021922428242,0.014063518673745001,0.005864958107442142,0.009055430241432294,0.00810501338189451,0.007000396248844298,0.0032174662453317016,0.021217495352663374,0.014534477709445603,0.01858848719426831,0.013939066631904362,0.0030449282266917788,0.016554006606947613,0.014663591969614753,0.024184370257966714,0.009080047789725265,0.01234763185267207,0.020142671130405576,0.02319964130230412,0.004621939268413033,0.015532000499465903,0.02004324094421217,0.012839892127729069,0.02853547178646676,0.01884491741492078,0.013728323699421896,0.024944146028426095,0.008037859339109277,0.011464000565251098,0.013677915071591107,0.0,0.023682645938387648,0.015381674668585532,0.015120451050743222,0.01987509758001571,0.004253498747173401,0.016827160737943103,0.008084720937403533,0.013690282742931492,0.004211623726072755,0.017248558115808388,0.015054063092186043,0.01292407108239102,0.00928998009289983,0.01150933323681902,0.018656332080136062,0.02356861409738764,0.017772252846378622,0.017940267065339244
2020-11-27,0.010356110020475873,0.023617110213181025,0.012287988361482372,0.01324909649927175,0.012267076031760471,0.021810450159224892,0.01744966442953011,0.010133480284104879,0.005242785045813214,0.008786394934605646,0.0075175451200959476,0.006558237145855239,0.0057270488517267015,0.014844959618362186,0.016745048057636547,0.019384382539179512,0.016080005142663056,0.03609091910347484,0.020086738187628406,0.00550349148629925,0.02111306602463192,0.014514670742470814,0.016074886718213666,0.014336917562723928,0.022581739536067236,0.007554793004206362,0.015670148162822084,0.01843325978561139,0.02145358648000073,0.01692371169222895,0.02143401153302138,0.01285816108339266,0.02150799448096752,0.010244280399374972,0.013202703410698291,0.014474444608706172,0.0,0.029133549157318583,0.020663307679530396,0.017330739415180263,0.021297245992988767,0.002154254348064155,0.017365432482887355,0.008005544138030007,0.017138887775685063,0.0070695660637234425,0.012393894711672626,0.010097682310112432,0.017278043593833114,0.0,0.012156613680886608,0.01878862949808502,0.02297839982890948,0.015531478285171652,0.026769918889148592
2020-11-24,0.011027168871543314,0.018852514802967457,0.008337423450647474,0.01562448012669937,0.007700816262533827,0.024663867128653205,0.0,0.01769965146234287,0.010723337882628137,0.0,0.007848561474361526,0.005603335939535992,0.0066624907465406835,0.0,0.016756083889612805,0.020249863583873706,0.0091961606594122,4.650699265851266e-05,0.001525126308723257,0.0,0.021583386233789748,0.011277976117851196,0.0,0.000823741947212353,0.0,0.01198879397951047,0.011604915022833229,0.018116683725690974,0.022123710142039954,0.012892529608047543,0.0,0.013989753982998288,0.01922771333227402,0.011226119416267721,0.00013214517583937102,0.012770918340310633,0.0,0.0,0.0,0.021925726964848735,0.022265124965899386,0.006084527568617881,0.0,0.0,0.0,0.011465606110304005,0.003693644045557054,0.002293976951511123,0.0,0.0,0.011489173663278729,0.004367056021140625,0.02624854819976763,0.01442502478066876,0.0
2020-11-23,0.0037899296155927686,0.022444889779559052,0.013899581962675711,0.006892710892710818,0.014397982547951438,0.02246215340791613,0.03141490765171495,0.017600285892968914,0.00969328703703698,0.018035330280304684,0.006149989667658007,0.002591680704937094,0.006674963231134701,0.022070572226746465,0.011110251960295692,0.017534476593230597,0.007800360912221249,0.03137747306041638,0.027063575590454025,0.021999840452405994,0.0,0.013481259999475359,0.021706105482911964,0.04734036816502152,0.019691597376296777,0.00681901453366085,0.011332169866201225,0.0019101236553735745,0.01250771579870702,0.01623686064339691,0.0286003408606732,0.012630819198845122,0.022896342821506543,0.013087216642318378,0.021588519824901953,0.010333821682712463,0.0,0.04458605382724179,0.017494656670753228,0.011813273148015835,0.024522137959753332,0.017527552781835043,0.03129002045224305,0.01050235888196105,0.028079115337133143,0.011972632328713262,0.003883499905220633,0.03070798667982766,0.04651162790697683,0.0,0.0067453036260376464,0.020498916071174822,0.019601629696695433,0.003649800052247576,0.03289880042911486
2020-11-22,0.008724688521620338,0.02178884097739453,0.012799071212287627,0.00877815157765971,0.011069751925912197,0.01807732403479756,0.0,0.014632718759145513,0.017719826145101925,0.00641156594607617,0.005994079590661228,0.0018094868812201792,0.004214430209035669,0.008431839270585328,0.011254413182972378,0.013724124021342599,0.009401728389576425,0.0001288286257206117,0.01585148038744255,0.0,0.0020417221482467163,0.0072358375818430964,0.014672614160874176,0.02237535973464988,0.030576831830814166,0.010465876390788997,0.007533674737208784,0.017542979463509356,0.009272925624077555,0.01677257127323384,0.03567545176823894,0.01158080060432165,0.023189478726647117,0.009571342830969387,0.008406810922668484,0.009101737486729267,0.0,0.01724577797342719,0.033358746474593026,0.023618934677339665,0.01970174032516603,0.010712633314747366,0.0,0.008403716216216273,0.01046244251405204,0.01825147493891377,0.004904574048405941,0.010750142072362134,0.006991260923845166,0.012491781722550943,0.013769071878634298,0.009114567572474641,0.01773742396661193,0.013620084243299413,0.0049098291001794525
2020-11-25,0.009126791377712884,0.019725694555452478,0.009979118516361352,0.007876098202882043,0.010957673106862575,0.015403831979061477,0.0,0.01675800403807326,0.006570302233902758,0.007472934337032111,0.0037614257467928347,0.004644561992001028,0.0030216551955681847,0.007741238598175659,0.010386936854930084,0.012968573366493263,0.006642280824540769,0.0007213473738447718,0.015277284689467097,0.007124829793323517,0.01948972360028356,0.010914528553002789,0.01121504569175924,0.00084022699381614,0.02941969600305172,0.012304921968787408,0.00944128719912829,0.015712055222286248,0.009553330154188577,0.008100900322832949,0.023897610238976075,0.0115596319225304,0.015268881275137813,0.010531914893616934,0.009675062873967688,0.00927624741791866,0.0,0.019004039803001138,0.008879189367673845,0.02226022673985595,0.014439581970733473,0.0014202544720409715,0.0,0.005667462344877583,0.010126550272443469,0.008216137235342869,0.010035029461194167,0.008964687875806288,0.016612943218447862,0.0025974025974024872,0.009952186698741983,0.009578015545532947,0.025128149198385907,0.010012370400914516,0.017538914466472377
2020-12-06,0.00928289157016371,0.01602081765738661,0.0032239758278500563,0.007116936645183536,0.014510912704920775,0.019321298634686235,0.041872074328705544,0.011432299792913714,0.0048489369638193835,0.006708292533536442,0.0044348937261509125,0.004366251444715585,0.004518828451882895,0.013894678338196575,0.008784635066189761,0.016864716228160326,0.008500590318772039,0.03250802885884019,0.017156590661841387,0.000727679820878846,0.02163712200208545,0.010079958521199472,0.005191941821802493,0.028517251242068165,0.018509526304356205,0.00978357545211983,0.0179723353370822,0.007362340415203672,0.015910629654705577,0.012604011271341031,0.025097656250000044,0.009495658489684367,0.01758596476518859,0.010552194348631083,0.007853663386022447,0.007551103427234862,0.019230769230769162,0.016000212338815434,0.011250607277097258,0.017997841338370124,0.015451579608563693,0.009880797496395699,0.051321496089261176,0.00628328451989324,0.007058823529411784,0.021189546527539793,0.012092392938619856,0.009984056467965852,0.017560975609756113,0.0,0.008023158233803285,0.022823807571896282,0.017979871055599395,0.0065419235602144354,0.025116193173073897
2020-12-04,0.01352976066430478,0.015552195513315104,0.03427040844407214,0.01239204621279999,0.01347810202458466,0.018238650416627644,0.012438722878213015,0.019324619958489997,0.006171121009651115,0.008853099785752327,0.010250303745311662,0.004730852832118604,0.002388092857936286,0.014526517747019296,0.017428640126404105,0.015812393545101777,0.010527502449768855,0.0018076644974691636,0.021991214427982797,0.02291600333886934,0.018627200816534906,0.013934879975844305,0.013589407956414945,0.016669928211677787,0.011131603214332708,0.007444379200104434,0.009276750026192104,0.01715497301464919,0.013584619080461602,0.016932283959509187,0.03677241116509489,0.013581692138482593,0.023935321077295457,0.011172764987407158,0.009992656890467133,0.005084660223573678,0.0,0.021445721899098213,0.00878404005158151,0.015916982532403923,0.015578887705022915,0.008994893221912825,0.02085573753151282,0.006552115758643007,0.005567707297673419,0.015196008864338584,0.010580400825578762,0.012853522968775621,0.016059443911792926,0.0038860103626943143,0.009367839048079585,0.016227675330332536,0.020400484929559815,0.011257377407524416,0.015012760846719653
2020-12-02,0.01553183076314757,0.02136063929993015,0.01380914933748012,0.01388496569559794,0.01449436024713946,0.01903433719045644,0.022500294726914394,0.009768043364609458,0.007240027668895532,0.009913128696097173,0.011834809416429781,0.003945024179180523,0.003767521746357083,0.015514945678392955,0.013096379522221202,0.019086883493663054,0.013288309548532107,0.026524720317574912,0.020193822249512827,0.015121561369563441,0.019372077488309936,0.010884509055534286,0.021932331319124865,0.018784919384658982,0.016021912641025482,0.015912078802675866,0.011034812505701375,0.016976185964247437,0.017913391846845483,0.014641495827753204,0.02600385922999182,0.012518218764818734,0.015530230640018461,0.013597640146596923,0.010607273171194809,0.006025533196921895,0.0,0.018216990278846712,0.014332120191295372,0.020233513795577585,0.023220495427811016,0.0044631046183929435,0.018979034987738785,0.008784351702967319,0.015955606090567453,0.01079359105328237,0.014555087851891635,0.019973771814788766,0.05237084217975929,0.02516129032258063,0.010068190433344615,0.016917282490040986,0.02226637715596702,0.010963937891033115,0.020766158852240757
