date,state,roc
2020-04-06,Illinois,0.12676056338028174
2020-04-06,North Dakota,0.19999999999999996
2020-04-06,Washington,0.1624060150375939
2020-04-06,District of Columbia,0.06233766233766236
2020-04-06,Oklahoma,0.13245167853509665
2020-04-06,Oregon,0.18789625360230544
2020-04-06,Delaware,0.18048024786986838
2020-04-06,North Carolina,0.2969696969696969
2020-04-06,Missouri,0.13857677902621712
2020-04-06,Arizona,0.2626641651031896
2020-04-06,New Hampshire,0.1132848043676069
2020-04-06,Vermont,0.07547169811320753
2020-04-06,New Jersey,0.2583333333333333
2020-04-06,New York,0.1293103448275863
2020-04-06,Connecticut,0.1710135358204028
2020-04-06,Wisconsin,0.248991935483871
2020-04-06,Virginia,0.2627118644067796
2020-04-06,Arkansas,0.27699530516431925
2020-04-06,Virgin Islands,0.304635761589404
2020-04-06,Wyoming,0.20721048798252006
2020-04-06,California,0.25595238095238093
2020-04-06,Tennessee,0.349367088607595
2020-04-06,Alaska,0.3138888888888889
2020-04-06,Texas,0.2678522571819426
2020-04-06,Utah,0.11055276381909551
2020-04-06,Mississippi,0.15544041450777213
2020-04-06,West Virginia,0.24925373134328366
2020-04-06,Hawaii,0.2148760330578512
2020-04-06,Massachusetts,0.196078431372549
2020-04-06,Kansas,0.18840579710144922
2020-04-06,Kentucky,0.14438502673796783
2020-04-06,Idaho,0.2605099150141643
2020-04-06,Louisiana,0.09947643979057585
2020-04-06,Maine,0.19601752111920612
2020-04-06,Indiana,0.23979591836734704
2020-04-06,Minnesota,0.36764705882352944
2020-04-06,Colorado,
2020-04-06,South Carolina,0.22902097902097895
2020-04-06,Florida,0.170807453416149
2020-04-06,Northern Mariana Islands,0.15662650602409633
2020-04-06,Michigan,0.2697338746053226
2020-04-06,Georgia,0.26582278481012667
2020-04-06,Nevada,0.17733990147783252
2020-04-06,Rhode Island,0.21955719557195574
2020-04-06,Pennsylvania,0.17241379310344818
2020-04-06,Guam,0.1550847457627118
2020-04-06,Ohio,0.2080162354134958
2020-04-06,Puerto Rico,0.2666666666666666
2020-04-06,Maryland,0.1467391304347827
2020-04-06,Iowa,0.0
2020-04-06,Montana,0.2214876033057851
2020-04-06,New Mexico,0.14350132625994694
2020-04-06,South Dakota,0.17708333333333326
2020-04-06,Alabama,0.12043010752688166
2020-04-06,Nebraska,0.14864864864864868
2020-04-05,Illinois,0.15277777777777768
2020-04-05,North Dakota,0.11764705882352944
2020-04-05,Washington,0.203104786545925
2020-04-05,District of Columbia,0.097799511002445
2020-04-05,Oklahoma,0.13564498742364361
2020-04-05,Oregon,0.12324114507520623
2020-04-05,Delaware,0.30774278215223094
2020-04-05,North Carolina,0.08411214953271018
2020-04-05,Missouri,0.125
2020-04-05,Arizona,0.2241208519068847
2020-04-05,New Hampshire,0.09644462607274207
2020-04-05,Vermont,0.01754385964912286
2020-04-05,New Jersey,0.1589403973509933
2020-04-05,New York,0.1832061068702291
2020-04-05,Connecticut,0.3010995207217366
2020-04-05,Wisconsin,0.22841000807102496
2020-04-05,Virginia,0.12751677852348986
2020-04-05,Arkansas,0.22426470588235303
2020-04-05,Virgin Islands,0.1142131979695431
2020-04-05,Wyoming,0.06757164404223226
2020-04-05,California,0.19905213270142186
2020-04-05,Tennessee,0.16697936210131337
2020-04-05,Alaska,0.16396523373267557
2020-04-05,Texas,0.18385843763487264
2020-04-05,Utah,0.14027149321266963
2020-04-05,Mississippi,0.13452914798206272
2020-04-05,West Virginia,0.07765830346475511
2020-04-05,Hawaii,0.09523809523809534
2020-04-05,Massachusetts,0.13114754098360648
2020-04-05,Kansas,0.24661246612466114
2020-04-05,Kentucky,0.20560747663551404
2020-04-05,Idaho,0.20334412081984898
2020-04-05,Louisiana,0.12857142857142856
2020-04-05,Maine,0.11708429097296191
2020-04-05,Indiana,0.19958847736625507
2020-04-05,Minnesota,0.043010752688172005
2020-04-05,Colorado,0.0
2020-04-05,South Carolina,0.18421052631578938
2020-04-05,Florida,0.13793103448275867
2020-04-05,Northern Mariana Islands,0.14375000000000004
2020-04-05,Michigan,0.22238010657193596
2020-04-05,Georgia,0.27
2020-04-05,Nevada,0.2301255230125523
2020-04-05,Rhode Island,0.172465960665658
2020-04-05,Pennsylvania,0.32352941176470584
2020-04-05,Guam,0.1511371973587674
2020-04-05,Ohio,0.1432171356572869
2020-04-05,Puerto Rico,0.1825657894736843
2020-04-05,Maryland,0.11374407582938395
2020-04-05,Iowa,0.21052631578947367
2020-04-05,Montana,0.20297699594046015
2020-04-05,New Mexico,0.1359313384365577
2020-04-05,South Dakota,0.09734513274336276
2020-04-05,Alabama,0.0748560460652592
2020-04-05,Nebraska,0.03529411764705892
2020-04-04,Illinois,0.14096385542168677
2020-04-04,North Dakota,0.05263157894736836
2020-04-04,Washington,0.25698924731182804
2020-04-04,District of Columbia,0.1314031180400892
2020-04-04,Oklahoma,0.17402309761113743
2020-04-04,Oregon,0.1352051835853132
2020-04-04,Delaware,0.2900150526843954
2020-04-04,North Carolina,0.13793103448275867
2020-04-04,Missouri,0.17251461988304095
2020-04-04,Arizona,0.15213433137770593
2020-04-04,New Hampshire,0.13007827059262023
2020-04-04,Vermont,0.034482758620689724
2020-04-04,New Jersey,0.1657142857142857
2020-04-04,New York,0.33870967741935476
2020-04-04,Connecticut,0.09859154929577474
2020-04-04,Wisconsin,0.18068331143232585
2020-04-04,Virginia,0.26190476190476186
2020-04-04,Arkansas,0.12312312312312312
2020-04-04,Virgin Islands,0.09339407744874717
2020-04-04,Wyoming,0.13704436281435428
2020-04-04,California,0.08695652173913038
