Unnamed: 0,Illinois,North Dakota,Washington,District of Columbia,Oklahoma,Oregon,Delaware,North Carolina,Missouri,Arizona,New Hampshire,Vermont,New Jersey,New York,Connecticut,Wisconsin,Virginia,Arkansas,Virgin Islands,Wyoming,California,Tennessee,Alaska,Texas,Utah,Mississippi,West Virginia,Hawaii,Massachusetts,Kansas,Kentucky,Idaho,Louisiana,Maine,Indiana,Minnesota,Colorado,South Carolina,Florida,Northern Mariana Islands,Michigan,Georgia,Nevada,Rhode Island,Pennsylvania,Guam,Ohio,Puerto Rico,Maryland,Iowa,Montana,New Mexico,South Dakota,Alabama,Nebraska
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,0.12197094280115647,0.08422325679586208,0.14113849975005985,0.09248140167314504,0.12813789563925415,0.11598880484609793,0.18583906421725055,0.1710056460697053,0.1525117276552928,0.15714130879490013,0.1340522568276954,0.21890567801957342,0.12514669100349496,0.1807382463733675,0.15163375998648673,0.17601903001351354,0.15045558831818567,0.15018806050155986,0.13665879752721463,0.18871248535479174,0.11690116121920639,0.17889557418612845,0.15776493139604153,0.16810872595505816,0.09531449622946422,0.11662831592748032,0.15274720957314317,0.102527833787364,0.15943475198867846,0.12401336874125801,0.1444246305360689,0.16750470364924747,0.13712118905951365,0.11588795574978747,0.13990753320033295,0.13016863448795823,0.2333333333333333,0.14616227029602138,0.15358789195060563,0.10603276381791771,0.19479214237083237,0.21038672510837658,0.1845175204034511,0.1531911922014198,0.17608302046602783,0.1251013342893776,0.1531908180023518,0.1339122839753025,0.11500522903838743,0.09281167077505749,0.16974581892734128,0.08424593879812384,0.13768338908920824,0.1015922441618774,0.11310595901883173
2020-04-13,0.11887094631350237,0.07586346843607375,0.1293991147913126,0.0937988760003281,0.12209888877834885,0.10216824367766937,0.18046118133585304,0.15982719489125413,0.1490460278748224,0.13908280653463626,0.14386693595695746,0.21436602700524515,0.10528738364418759,0.17122601530941228,0.1450282472134499,0.16231117220519864,0.1349666428923069,0.12846042694063145,0.1281441333834114,0.17752261298756145,0.09531393915603244,0.15201819783463966,0.13624089760580121,0.15137662651393788,0.0926770697461348,0.11126839415449367,0.1393942096937744,0.08104023048157888,0.15192736547242813,0.11176842576373613,0.1344616523377966,0.14954813901568212,0.1429169853136922,0.1025191014030499,0.12812306331481776,0.0987372619389386,0.2333333333333333,0.13074331846133921,0.14736687511577806,0.09469873512363529,0.17934456752980296,0.19550035306011243,0.18036948219651813,0.13952400311017402,0.16995275226679413,0.11644071476240034,0.14242600427695312,0.1117582526876972,0.10622450199859242,0.09508439804778476,0.1634121437549136,0.07344977158655966,0.13899522866653774,0.09520497111410726,0.10199696269856781
2020-04-16,0.1172936692184738,0.0702598999944791,0.11487055309442287,0.09204299711673355,0.11710337521272333,0.09400695842047109,0.1625387216529523,0.17167460062763829,0.15545601961718408,0.12312299083305829,0.14566851965811486,0.26188171403303356,0.09552079488948041,0.15472358644057116,0.1262032608214002,0.14744275437067908,0.1314706902307976,0.12260854198775524,0.12479108356318322,0.17534663256761723,0.07887693397837581,0.16181305503562707,0.13029036818069833,0.14025299695659352,0.08660127683272564,0.10241077961738401,0.1411772762850664,0.07559165606748722,0.1483849127997294,0.09743559419172694,0.11938952582551696,0.13601532995963378,0.13900190794773326,0.09756282293065224,0.1144685634042792,0.100343359665902,0.2708333333333333,0.11997436702148098,0.13717921384437293,0.08523482741830082,0.16966999124375187,0.17670279634108976,0.17533902916296024,0.1278628435351266,0.16041231109032356,0.10721228180956596,0.1384633451269247,0.10058284817901615,0.10006748572000182,0.07625398869105961,0.15247818965906687,0.06463609184862772,0.14620986793457433,0.09462394369920274,0.10253994912390718
2020-04-15,0.1168081723872739,0.06901459924259941,0.09988329380711386,0.08530937054949342,0.10572952735362082,0.09015929594169221,0.1449596056340287,0.16621483051269575,0.14396844651776886,0.11510522372460572,0.13933454598967998,0.2909517755792776,0.08056599449357148,0.13172924207525907,0.12525775491689237,0.13629056088197375,0.116197244608007,0.11607822019676994,0.1249276270028024,0.16899980051401506,0.07446433580818718,0.15993178765794758,0.12701680245606167,0.12733592506818264,0.07994121246035626,0.10351557828236416,0.13125226577174293,0.07228027389282583,0.12473586371832215,0.08991074143260173,0.1016181096212121,0.11930416459983309,0.1343498262911883,0.0917641475070404,0.1093798160594837,0.0951435403863193,0.2708333333333333,0.11094760477661814,0.13556358281311484,0.081288404911167,0.16086263563861938,0.14985621264792237,0.15566696723474066,0.11791239354018275,0.16304165799447962,0.10247041400882102,0.14076582258448778,0.09493432200018352,0.09493296839979785,0.054514858256276985,0.14863715291160212,0.06447366248880101,0.1377629969000455,0.08600106893246004,0.1251881704677807
