date	state	roc_rolling_mean
2020-04-12	Illinois	0.12197094280115647
2020-04-12	North Dakota	0.08422325679586208
2020-04-12	Washington	0.14113849975005985
2020-04-12	District of Columbia	0.09248140167314504
2020-04-12	Oklahoma	0.12813789563925415
2020-04-12	Oregon	0.11598880484609793
2020-04-12	Delaware	0.18583906421725055
2020-04-12	North Carolina	0.1710056460697053
2020-04-12	Missouri	0.1525117276552928
2020-04-12	Arizona	0.15714130879490013
2020-04-12	New Hampshire	0.1340522568276954
2020-04-12	Vermont	0.21890567801957342
2020-04-12	New Jersey	0.12514669100349496
2020-04-12	New York	0.1807382463733675
2020-04-12	Connecticut	0.15163375998648673
2020-04-12	Wisconsin	0.17601903001351354
2020-04-12	Virginia	0.15045558831818567
2020-04-12	Arkansas	0.15018806050155986
2020-04-12	Virgin Islands	0.13665879752721463
2020-04-12	Wyoming	0.18871248535479174
2020-04-12	California	0.11690116121920639
2020-04-12	Tennessee	0.17889557418612845
2020-04-12	Alaska	0.15776493139604153
2020-04-12	Texas	0.16810872595505816
2020-04-12	Utah	0.09531449622946422
2020-04-12	Mississippi	0.11662831592748032
2020-04-12	West Virginia	0.15274720957314317
2020-04-12	Hawaii	0.102527833787364
2020-04-12	Massachusetts	0.15943475198867846
2020-04-12	Kansas	0.12401336874125801
2020-04-12	Kentucky	0.1444246305360689
2020-04-12	Idaho	0.16750470364924747
2020-04-12	Louisiana	0.13712118905951365
2020-04-12	Maine	0.11588795574978747
2020-04-12	Indiana	0.13990753320033295
2020-04-12	Minnesota	0.13016863448795823
2020-04-12	South Carolina	0.14616227029602138
2020-04-12	Florida	0.15358789195060563
2020-04-12	Northern Mariana Islands	0.10603276381791771
2020-04-12	Michigan	0.19479214237083237
2020-04-12	Georgia	0.21038672510837658
2020-04-12	Nevada	0.1845175204034511
2020-04-12	Rhode Island	0.1531911922014198
2020-04-12	Pennsylvania	0.17608302046602783
2020-04-12	Guam	0.1251013342893776
2020-04-12	Ohio	0.1531908180023518
2020-04-12	Puerto Rico	0.1339122839753025
2020-04-12	Maryland	0.11500522903838743
2020-04-12	Iowa	0.09281167077505749
2020-04-12	Montana	0.16974581892734128
2020-04-12	New Mexico	0.08424593879812384
2020-04-12	South Dakota	0.13768338908920824
2020-04-12	Alabama	0.1015922441618774
2020-04-12	Nebraska	0.11310595901883173
2020-04-13	Illinois	0.11887094631350237
2020-04-13	North Dakota	0.07586346843607375
2020-04-13	Washington	0.1293991147913126
2020-04-13	District of Columbia	0.0937988760003281
2020-04-13	Oklahoma	0.12209888877834885
2020-04-13	Oregon	0.10216824367766937
2020-04-13	Delaware	0.18046118133585304
2020-04-13	North Carolina	0.15982719489125413
2020-04-13	Missouri	0.1490460278748224
2020-04-13	Arizona	0.13908280653463626
2020-04-13	New Hampshire	0.14386693595695746
2020-04-13	Vermont	0.21436602700524515
2020-04-13	New Jersey	0.10528738364418759
2020-04-13	New York	0.17122601530941228
2020-04-13	Connecticut	0.1450282472134499
2020-04-13	Wisconsin	0.16231117220519864
2020-04-13	Virginia	0.1349666428923069
2020-04-13	Arkansas	0.12846042694063145
2020-04-13	Virgin Islands	0.1281441333834114
2020-04-13	Wyoming	0.17752261298756145
2020-04-13	California	0.09531393915603244
2020-04-13	Tennessee	0.15201819783463966
2020-04-13	Alaska	0.13624089760580121
2020-04-13	Texas	0.15137662651393788
2020-04-13	Utah	0.0926770697461348
2020-04-13	Mississippi	0.11126839415449367
2020-04-13	West Virginia	0.1393942096937744
